"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
1,1,323197,351195,371568,394123,417730,436772,451189,475099,509843,519576,539562,563553,577207,587169,593338,607550,631417,0,0
2,1,272178,282614,304775,320558,328562,367919,376110,379402,407710,0,0,0,0,0,0,0,0,0,0
3,1,169357,179756,185726,199884,210206,218483,224813,231328,0,0,0,0,0,0,0,0,0,0,0
4,1,149099,165860,176348,191651,200523,202164,213986,220234,233825,238599,244405,244405,244405,244405,255533,261156,264180,274335,274335
5,1,245150,254550,274510,288726,295935,331384,338761,341726,367224,389958,399145,413102,413102,427291,431920,450091,450091,487907,533876
6,1,218371,236010,249903,258399,265351,268577,299046,305086,313349,328908,336364,343686,351361,351361,354954,367309,380447,394738,406701
7,1,232055,257852,271043,275586,297286,301991,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,291103,316320,334670,354986,376248,393400,406385,427920,459214,467980,485982,0,0,0,0,0,0,0,0
9,1,313027,340652,353192,369530,390194,404397,417739,441364,473364,489701,507072,523920,544310,556015,568566,618091,638555,668767,683097
10,1,322580,331719,341939,351724,362061,374786,382692,408590,428046,448187,463651,478874,494918,0,0,0,0,0,0
11,1,218371,236010,249903,258399,265351,268577,299046,305086,313349,328908,336364,343686,351361,351361,354954,367309,380447,394738,406701
12,1,262572,300098,311647,337377,347866,359987,387949,436454,0,0,0,0,0,0,0,0,0,0,0
13,1,225943,243402,250821,258222,270650,292516,318114,338774,354980,366279,370080,390946,409268,421205,425905,435626,447418,473511,508545
14,1,277820,295255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,225405,239246,247192,266034,279773,290789,299214,307885,328692,341918,0,0,0,0,0,0,0,0,0
16,1,99849,103678,111807,117597,120534,134972,137977,139184,149569,158829,162571,168255,168255,174035,175920,183321,183321,198724,217446
17,1,80825,89911,95597,103892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,96678,99746,105994,114947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,112435,116233,117763,124781,132241,135608,147865,163573,180175,187096,0,0,0,0,0,0,0,0,0
20,1,116518,136423,142627,154763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,99849,103678,111807,117597,120534,134972,137977,139184,149569,158829,162571,168255,168255,174035,175920,183321,183321,198724,217446
22,1,99849,103678,111807,117597,120534,134972,137977,139184,0,0,0,0,0,0,0,0,0,0,0
23,1,91807,97444,100681,108355,113951,118438,121869,125401,133876,139263,159020,159020,162873,162873,165164,167005,172173,185672,194103
24,1,99444,107128,110394,113651,119121,128745,140012,149105,156237,161211,162883,172067,180131,185385,187454,191732,196922,208407,0
25,1,99208,105299,108796,117090,123136,127985,131693,135509,144667,150489,171838,171838,176002,176002,178478,180468,186052,200639,209749
26,1,125910,147421,154124,167238,196336,215423,226582,235672,247327,258048,258048,258048,265951,269711,269711,281652,290083,306228,322222
27,1,114180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,110561,115722,121675,132427,136999,144309,146908,148111,150642,151911,153153,154442,154442,157334,157334,162196,166958,188567,195224
29,1,270278,290937,299985,305055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,261824,288022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,273066,297165,308104,322356,340382,352772,364410,385019,412934,427186,442340,457037,474823,485034,495983,539186,557037,583392,595893
32,1,253941,275939,291946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,314483,339851,367259,395693,412056,430530,460044,497795,515561,524229,539558,551076,558000,568069,577897,596667,622310,649817,676714
34,1,318843,338189,343816,352885,362653,367252,380965,392124,412331,424827,440729,454790,459086,467910,474050,504167,516873,537848,560967
35,1,277640,295575,304320,317322,331584,343882,357667,376647,400949,411308,427555,437997,456479,465732,481639,508546,526022,565905,577337
36,1,348666,376791,407179,438703,456844,477327,510049,551904,571601,581210,598206,610976,618652,629816,640712,661522,689952,720449,0
37,1,320649,346515,374460,403452,420135,438972,469065,507556,525670,534508,550138,561882,568941,579208,589228,608366,634512,662558,689982
38,1,258920,281349,297671,315740,334652,349907,361457,380612,408445,416243,432254,451474,462412,470393,475335,486721,505841,528842,544586
39,1,108588,115402,141739,156811,160259,160259,169180,180221,192923,207598,216732,216732,227198,0,0,0,0,0,0
40,1,293223,311015,316190,324529,333512,337742,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,275578,296642,305867,311037,320637,331385,339234,358912,376942,387225,395571,406589,415638,430953,434919,455318,468415,503424,519786
42,1,255331,271824,279867,291824,304940,316250,328927,346382,368731,378258,393200,402802,419799,428308,0,0,0,0,0
43,1,97296,107927,120100,126674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,100654,115039,119467,129330,133351,137997,148716,167310,180661,190414,196094,196094,204797,204797,211100,220662,220662,239499,256972
45,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,120220,121310
46,1,105822,109396,110836,117441,124462,127631,139167,153951,0,0,0,0,0,0,0,0,0,0,0
47,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
48,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
49,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
50,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
51,1,109664,128399,134237,145659,171003,187627,197345,205263,215413,224751,224751,224751,231635,234910,234910,245310,252653,266715,280645
52,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,188023,192645,192645,192645,194993,202900,209374,242831,252289
53,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,0,0
54,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,120220,121310
55,1,76071,84623,89973,97781,102308,103145,109177,112364,119298,121734,124696,124696,124696,124696,130374,133243,134786,139967,139967
