Variable,Estimate,SE,Model,Measure,Health,Gender
precarious (t - 1),-0.012,0.014,Causation,Summative,General,Full
precarious,-0.042,0.017,Causation,Summative,General,Full
education (t - 1),-0.014,0.011,Causation,Summative,General,Full
education,0.026,0.013,Causation,Summative,General,Full
income (t - 1),-0.013,0.011,Causation,Summative,General,Full
income,0.064,0.011,Causation,Summative,General,Full
spouse.precarious (t - 1),-0.001,0.005,Causation,Summative,General,Full
spouse.precarious,0.004,0.006,Causation,Summative,General,Full
spouse.exist (t - 1),-0.004,0.01,Causation,Summative,General,Full
spouse.exist,0.007,0.01,Causation,Summative,General,Full
child.exist (t - 1),-0.001,0.011,Causation,Summative,General,Full
child.exist,0.012,0.012,Causation,Summative,General,Full
hourly (t - 1),-0.002,0.006,Causation,Summative,General,Full
hourly,-0.003,0.006,Causation,Summative,General,Full
injill (t - 1),-0.001,0.008,Causation,Summative,General,Full
injill,-0.105,0.009,Causation,Summative,General,Full
urban (t - 1),-0.006,0.009,Causation,Summative,General,Full
urban,-0.006,0.01,Causation,Summative,General,Full
union (t - 1),-0.004,0.011,Causation,Summative,General,Full
union,0.009,0.011,Causation,Summative,General,Full
sex,-0.044,0.019,Causation,Summative,General,Full
race_black,-0.028,0.023,Causation,Summative,General,Full
race_hispanic,-0.093,0.023,Causation,Summative,General,Full
race_mixed,-0.064,0.083,Causation,Summative,General,Full
precarious (t - 1),0.003,0.02,Causation,Summative,General,Male
precarious,-0.016,0.025,Causation,Summative,General,Male
education (t - 1),-0.013,0.015,Causation,Summative,General,Male
education,0.026,0.017,Causation,Summative,General,Male
income (t - 1),-0.008,0.015,Causation,Summative,General,Male
income,0.083,0.016,Causation,Summative,General,Male
spouse.precarious (t - 1),0.001,0.009,Causation,Summative,General,Male
spouse.precarious,0.006,0.01,Causation,Summative,General,Male
spouse.exist (t - 1),0.014,0.015,Causation,Summative,General,Male
spouse.exist,-0.01,0.015,Causation,Summative,General,Male
child.exist (t - 1),0.003,0.015,Causation,Summative,General,Male
child.exist,-0.005,0.017,Causation,Summative,General,Male
hourly (t - 1),-0.005,0.008,Causation,Summative,General,Male
hourly,-0.004,0.008,Causation,Summative,General,Male
injill (t - 1),-0.013,0.013,Causation,Summative,General,Male
injill,-0.097,0.013,Causation,Summative,General,Male
urban (t - 1),0.003,0.014,Causation,Summative,General,Male
urban,0.013,0.014,Causation,Summative,General,Male
union (t - 1),-0.008,0.016,Causation,Summative,General,Male
union,0.014,0.016,Causation,Summative,General,Male
race_black,0.081,0.034,Causation,Summative,General,Male
race_hispanic,-0.097,0.033,Causation,Summative,General,Male
race_mixed,-0.133,0.109,Causation,Summative,General,Male
precarious (t - 1),-0.028,0.019,Causation,Summative,General,Female
precarious,-0.092,0.025,Causation,Summative,General,Female
education (t - 1),-0.015,0.015,Causation,Summative,General,Female
education,0.024,0.017,Causation,Summative,General,Female
income (t - 1),-0.017,0.016,Causation,Summative,General,Female
income,0.04,0.015,Causation,Summative,General,Female
spouse.precarious (t - 1),0,0.007,Causation,Summative,General,Female
spouse.precarious,0.003,0.008,Causation,Summative,General,Female
spouse.exist (t - 1),-0.019,0.013,Causation,Summative,General,Female
spouse.exist,0.024,0.013,Causation,Summative,General,Female
child.exist (t - 1),-0.015,0.016,Causation,Summative,General,Female
child.exist,0.039,0.016,Causation,Summative,General,Female
hourly (t - 1),0,0.009,Causation,Summative,General,Female
hourly,-0.002,0.008,Causation,Summative,General,Female
injill (t - 1),0.008,0.01,Causation,Summative,General,Female
injill,-0.11,0.011,Causation,Summative,General,Female
urban (t - 1),-0.014,0.013,Causation,Summative,General,Female
urban,-0.026,0.013,Causation,Summative,General,Female
union (t - 1),0.001,0.016,Causation,Summative,General,Female
union,0.007,0.016,Causation,Summative,General,Female
race_black,-0.126,0.033,Causation,Summative,General,Female
race_hispanic,-0.089,0.033,Causation,Summative,General,Female
race_mixed,0.005,0.122,Causation,Summative,General,Female
